loop_index,material_label,tag,pred_material,prob_Hard,prob_Medium,prob_Soft,max_force_n,contact_detected,baseline_res_k,pkt_count
1,hard,,Hard,0.395,0.265,0.34,15.0468,1,800.0000,400
2,hard,,Hard,0.395,0.265,0.34,11.5851,1,800.0000,399
3,hard,,Hard,0.99,0.01,0.0,12.0989,1,800.0000,399
4,hard,,Hard,0.395,0.26,0.345,13.9266,1,800.0000,399
5,hard,,Hard,0.385,0.305,0.31,12.5302,1,800.0000,400
6,hard,,Hard,0.4,0.265,0.335,13.8386,1,800.0000,399
7,hard,,Hard,0.4,0.275,0.325,13.2957,1,800.0000,395
8,hard,,Hard,0.365,0.275,0.36,14.9025,1,800.0000,397
9,hard,,Hard,0.4,0.265,0.335,13.6911,1,800.0000,398
10,hard,,Hard,0.4,0.265,0.335,14.4879,1,800.0000,396
11,hard,,Hard,0.985,0.005,0.01,11.8438,1,800.0000,400
12,hard,,Hard,0.44,0.29,0.27,11.7307,1,800.0000,398
13,hard,,Hard,0.4,0.275,0.325,12.0496,1,800.0000,399
14,hard,,Hard,0.385,0.305,0.31,13.2135,1,800.0000,397
15,hard,,Hard,0.4,0.265,0.335,13.0505,1,800.0000,400
16,hard,,Hard,0.39,0.295,0.315,14.0923,1,800.0000,399
17,hard,,Hard,0.38,0.305,0.315,14.4349,1,800.0000,399
18,hard,,Hard,0.395,0.265,0.34,14.2812,1,800.0000,400
19,hard,,Hard,0.38,0.305,0.315,13.3072,1,800.0000,397
20,hard,,Hard,0.38,0.305,0.315,13.6985,1,800.0000,399
21,hard,,Hard,0.385,0.305,0.31,12.6474,1,800.0000,397
22,hard,,Hard,0.395,0.265,0.34,12.9833,1,800.0000,398
23,hard,,Hard,0.39,0.295,0.315,13.4399,1,800.0000,397
24,hard,,Hard,0.375,0.27,0.355,12.9419,1,800.0000,400
25,hard,,Hard,0.395,0.265,0.34,13.5535,1,800.0000,399
26,hard,,Hard,0.395,0.265,0.34,14.3801,1,603.1936,400
27,hard,,Hard,0.395,0.265,0.34,14.2305,1,800.0000,398
28,hard,,Hard,0.395,0.265,0.34,12.6496,1,800.0000,397
29,hard,,Hard,0.4,0.265,0.335,13.5488,1,800.0000,400
