loop_index,material_label,tag,pred_material,prob_Hard,prob_Medium,prob_Soft,max_force_n,contact_detected,baseline_res_k,pkt_count
1,medium,,Medium,0.33,0.415,0.255,9.5598,1,800.0000,1029
2,medium,,Hard,0.995,0.005,0.0,10.5967,1,773.4756,399
3,medium,,Medium,0.33,0.415,0.255,13.7341,1,800.0000,399
4,medium,,Medium,0.33,0.415,0.255,12.9478,1,800.0000,400
5,medium,,Medium,0.33,0.415,0.255,13.1871,1,585.0276,400
6,medium,,Medium,0.33,0.415,0.255,8.4922,1,410.9688,397
7,medium,,Medium,0.33,0.415,0.255,11.7749,1,666.7201,400
8,medium,,Medium,0.33,0.415,0.255,11.6355,1,800.0000,397
9,medium,,Medium,0.33,0.415,0.255,12.2852,1,800.0000,396
10,medium,,Hard,0.39,0.295,0.315,13.7610,1,800.0000,399
11,medium,,Medium,0.33,0.415,0.255,11.5285,1,647.0655,396
12,medium,,Hard,0.395,0.26,0.345,15.0093,1,800.0000,400
13,medium,,Hard,0.385,0.335,0.28,16.2051,1,800.0000,396
14,medium,,Medium,0.33,0.415,0.255,12.4015,1,426.6541,400
15,medium,,Medium,0.33,0.415,0.255,12.2543,1,468.4365,400
16,medium,,Hard,0.4,0.265,0.335,17.0524,1,800.0000,398
17,medium,,Hard,0.4,0.265,0.335,14.6466,1,800.0000,400
18,medium,,Medium,0.33,0.415,0.255,12.2467,1,550.6241,400
19,medium,,Medium,0.33,0.415,0.255,8.9532,1,411.3765,400
20,medium,,Hard,0.385,0.305,0.31,14.9818,1,577.8733,399
21,medium,,Hard,0.395,0.25,0.355,14.8626,1,752.1923,400
22,medium,,Hard,0.4,0.275,0.325,15.5885,1,800.0000,397
23,medium,,Medium,0.33,0.415,0.255,15.4927,1,601.8088,400
24,medium,,Medium,0.33,0.415,0.255,13.3768,1,501.8822,399
25,medium,,Medium,0.33,0.415,0.255,12.5780,1,503.1538,400
26,medium,,Medium,0.33,0.415,0.255,11.7605,1,689.8349,398
27,medium,,Medium,0.33,0.415,0.255,12.2268,1,800.0000,397
28,medium,,Hard,0.4,0.265,0.335,16.2036,1,800.0000,400
29,medium,,Medium,0.33,0.415,0.255,15.0467,1,674.0369,399
30,medium,,Medium,0.33,0.415,0.255,14.8156,1,641.4913,395
31,medium,,Hard,0.4,0.265,0.335,13.9194,1,800.0000,400
32,medium,,Hard,0.985,0.015,0.0,14.3690,1,775.5779,399
33,medium,,Medium,0.33,0.415,0.255,12.6050,1,566.0697,400
