loop_index,material_label,tag,pred_material,prob_Hard,prob_Medium,prob_Soft,max_force_n,contact_detected,baseline_res_k,pkt_count
1,soft,,Soft,0.0,0.0,1.0,5.7252,1,800.0000,5170
2,soft,,Soft,0.115,0.15,0.735,6.3254,1,800.0000,398
3,soft,,Soft,0.115,0.15,0.735,5.9431,1,800.0000,400
4,soft,,Soft,0.115,0.15,0.735,6.1966,1,800.0000,400
5,soft,,Soft,0.005,0.005,0.99,6.0065,1,800.0000,400
6,soft,,Soft,0.1,0.165,0.735,6.6057,1,800.0000,400
7,soft,,Soft,0.005,0.005,0.99,6.5813,1,800.0000,396
8,soft,,Soft,0.01,0.01,0.98,7.4271,1,800.0000,400
9,soft,,Soft,0.005,0.005,0.99,7.0097,1,762.7043,396
10,soft,,Soft,0.015,0.005,0.98,6.6056,1,800.0000,397
11,soft,,Soft,0.015,0.005,0.98,6.6074,1,800.0000,399
12,soft,,Soft,0.1,0.165,0.735,6.6168,1,800.0000,400
13,soft,,Soft,0.0,0.01,0.99,6.3368,1,800.0000,396
14,soft,,Soft,0.1,0.165,0.735,6.9566,1,800.0000,399
15,soft,,Soft,0.005,0.01,0.985,7.2855,1,800.0000,400
16,soft,,Soft,0.01,0.015,0.975,6.8018,1,800.0000,399
17,soft,,Soft,0.1,0.165,0.735,6.1507,1,800.0000,396
18,soft,,Soft,0.115,0.15,0.735,6.4222,1,800.0000,395
19,soft,,Soft,0.01,0.015,0.975,6.5770,1,800.0000,396
20,soft,,Soft,0.115,0.15,0.735,6.3779,1,800.0000,396
21,soft,,Soft,0.02,0.03,0.95,7.8732,1,800.0000,397
22,soft,,Soft,0.025,0.075,0.9,7.9825,1,800.0000,396
23,soft,,Soft,0.05,0.06,0.89,8.0799,1,800.0000,399
24,soft,,Soft,0.025,0.105,0.87,8.1649,1,800.0000,399
25,soft,,Soft,0.005,0.015,0.98,7.6251,1,800.0000,397
26,soft,,Soft,0.005,0.005,0.99,6.8304,1,800.0000,398
27,soft,,Soft,0.0,0.015,0.985,7.7068,1,800.0000,397
28,soft,,Soft,0.06,0.075,0.865,8.1273,1,800.0000,400
29,soft,,Soft,0.05,0.08,0.87,8.3032,1,800.0000,399
30,soft,,Soft,0.06,0.075,0.865,8.1836,1,800.0000,400
31,soft,,Soft,0.01,0.015,0.975,7.6578,1,800.0000,399
32,soft,,Soft,0.11,0.15,0.74,6.8486,1,800.0000,399
33,soft,,Soft,0.03,0.1,0.87,8.3354,1,800.0000,400
34,soft,,Soft,0.055,0.085,0.86,8.3544,1,800.0000,396
35,soft,,Soft,0.0,0.0,1.0,7.1736,1,579.2728,400
