loop_index,material_label,tag,pred_material,prob_Hard,prob_Medium,prob_Soft,max_force_n,contact_detected,baseline_res_k,pkt_count
1,soft,,Hard,0.4,0.265,0.335,8.9624,1,800.0000,400
2,soft,,Medium,0.18,0.555,0.265,5.6891,1,800.0000,400
3,soft,,Medium,0.255,0.485,0.26,5.8596,1,800.0000,400
4,soft,,Medium,0.305,0.44,0.255,6.2532,1,800.0000,400
5,soft,,Hard,0.365,0.29,0.345,6.3759,1,800.0000,400
6,soft,,Medium,0.16,0.565,0.275,5.5930,1,800.0000,399
7,soft,,Medium,0.16,0.575,0.265,5.5485,1,800.0000,399
8,soft,,Medium,0.16,0.565,0.275,5.4624,1,800.0000,400
9,soft,,Hard,0.865,0.115,0.02,4.7150,1,800.0000,400
10,soft,,Hard,0.87,0.11,0.02,4.3245,1,503.9000,400
11,soft,,Soft,0.245,0.33,0.425,5.0227,1,400.9040,400
12,soft,,Medium,0.305,0.44,0.255,6.3995,1,800.0000,400
13,soft,,Soft,0.255,0.34,0.405,5.7408,1,529.1056,400
14,soft,,Medium,0.305,0.44,0.255,6.6222,1,800.0000,400
15,soft,,Hard,0.345,0.335,0.32,6.2500,1,547.6550,399
16,soft,,Medium,0.16,0.565,0.275,5.3889,1,416.4556,400
17,soft,,Hard,0.355,0.3,0.345,6.4514,1,800.0000,399
18,soft,,Medium,0.24,0.405,0.355,5.6261,1,435.5971,400
19,soft,,Medium,0.305,0.44,0.255,6.0529,1,521.4477,399
20,soft,,Medium,0.325,0.425,0.25,7.0936,1,726.5463,399
21,soft,,Hard,0.365,0.29,0.345,6.7984,1,706.3903,400
22,soft,,Medium,0.235,0.405,0.36,5.5979,1,419.7269,400
23,soft,,Soft,0.255,0.315,0.43,4.9797,1,384.5166,400
24,soft,,Soft,0.255,0.315,0.43,4.9843,1,379.2029,399
25,soft,,Hard,0.355,0.3,0.345,6.2631,1,516.0700,400
26,soft,,Medium,0.33,0.415,0.255,8.4339,1,800.0000,399
27,soft,,Medium,0.165,0.565,0.27,5.4136,1,401.3349,399
28,soft,,Medium,0.31,0.435,0.255,6.9867,1,800.0000,399
29,soft,,Hard,0.945,0.055,0.0,6.4848,1,800.0000,399
30,soft,,Medium,0.31,0.445,0.245,7.3001,1,669.8976,400
31,soft,,Medium,0.31,0.435,0.255,7.1483,1,800.0000,399
