loop_index,material_label,tag,pred_material,prob_Hard,prob_Medium,prob_Soft,max_force_n,contact_detected,baseline_res_k,pkt_count
1,hard,,Soft,0.165,0.225,0.61,8.3235,1,729.9033,4619
2,hard,,Soft,0.08,0.25,0.67,8.8408,1,800.0000,400
3,hard,,Medium,0.025,0.765,0.21,9.6051,1,700.4809,400
4,hard,,Medium,0.04,0.9,0.06,10.1989,1,609.9198,400
5,hard,,Medium,0.28,0.705,0.015,12.3614,1,675.4382,399
6,hard,,Medium,0.375,0.61,0.015,11.5484,1,656.9783,400
7,hard,,Medium,0.095,0.775,0.13,9.9545,1,654.4426,399
8,hard,,Soft,0.0,0.0,1.0,6.1191,1,447.3598,399
9,hard,,Soft,0.0,0.095,0.905,8.0038,1,708.5285,398
10,hard,,Soft,0.035,0.325,0.64,8.8272,1,726.9249,399
11,hard,,Soft,0.0,0.01,0.99,7.7462,1,633.0625,398
12,hard,,Soft,0.0,0.015,0.985,7.3158,1,579.1820,397
13,hard,,Medium,0.18,0.695,0.125,10.0275,1,716.0007,399
14,hard,,Soft,0.0,0.0,1.0,7.3876,1,600.5038,398
15,hard,,Soft,0.005,0.36,0.635,8.8053,1,609.9751,396
16,hard,,Soft,0.2,0.305,0.495,9.8977,1,746.5506,397
17,hard,,Medium,0.315,0.45,0.235,9.9659,1,578.9952,400
18,hard,,Soft,0.235,0.375,0.39,10.4433,1,658.6935,399
19,hard,,Medium,0.045,0.915,0.04,10.5105,1,571.1736,398
20,hard,,Medium,0.365,0.615,0.02,11.4363,1,718.5961,397
21,hard,,Medium,0.045,0.93,0.025,10.6947,1,642.9903,399
22,hard,,Soft,0.035,0.42,0.545,9.3850,1,610.4263,397
23,hard,,Medium,0.445,0.515,0.04,11.5497,1,756.4075,400
24,hard,,Medium,0.0,0.815,0.185,8.9511,1,590.5066,399
25,hard,,Medium,0.315,0.64,0.045,10.9428,1,590.5370,400
26,hard,,Soft,0.17,0.34,0.49,9.8424,1,673.7123,400
27,hard,,Medium,0.21,0.715,0.075,10.6603,1,658.4231,399
28,hard,,Soft,0.065,0.26,0.675,9.0365,1,593.9236,397
29,hard,,Medium,0.295,0.58,0.125,10.4094,1,680.7306,399
30,hard,,Soft,0.065,0.275,0.66,9.1855,1,708.8768,398
31,hard,,Medium,0.125,0.85,0.025,11.1742,1,684.0745,398
32,hard,,Soft,0.005,0.31,0.685,8.5469,1,569.4150,400
33,hard,,Medium,0.335,0.63,0.035,11.2189,1,699.7030,397
34,hard,,Medium,0.085,0.785,0.13,9.9340,1,556.6895,397
35,hard,,Medium,0.445,0.555,0.0,12.4113,1,704.0930,400
36,hard,,Medium,0.095,0.825,0.08,10.1684,1,617.9526,399
37,hard,,Medium,0.04,0.955,0.005,10.8156,1,554.6649,400
38,hard,,Soft,0.1,0.44,0.46,9.6414,1,626.3406,397
39,hard,,Medium,0.315,0.675,0.01,11.9751,1,722.3995,398
40,hard,,Soft,0.185,0.34,0.475,10.0475,1,696.2724,398
41,hard,,Soft,0.005,0.355,0.64,8.4689,1,549.2690,399
42,hard,,Soft,0.17,0.34,0.49,9.9887,1,725.8523,397
43,hard,,Soft,0.12,0.295,0.585,9.5722,1,567.4624,399
44,hard,,Medium,0.26,0.535,0.205,10.0789,1,701.1204,400
45,hard,,Soft,0.135,0.295,0.57,9.6620,1,552.4901,400
